NB_recommended_files,Best_solution,Recommended_files,Co_modified_files,Commits_hash,PRECISION,RECALL,FSCORE,SUCCESS_RATE,MRR
"[1, 1, 1]","[[383], [383], [383]]","[['puppet-tripleo/manifests/profile/base/ironic/conductor.pp_(IaC)_'], ['puppet-tripleo/manifests/profile/base/ironic/conductor.pp_(IaC)_'], ['puppet-tripleo/manifests/profile/base/ironic/conductor.pp_(IaC)_']]","[['puppet-tripleo/spec/classes/tripleo_profile_base_ironic_inspector_spec.rb_(Other)_'], ['puppet-tripleo/spec/classes/tripleo_profile_base_ironic_inspector_spec.rb_(Other)_'], ['puppet-tripleo/manifests/profile/base/ironic_inspector/authtoken.pp_(IaC)_']]","['94ee6744d93fe2b5adfa1696b1a0a891f797045d', 'be5ca93a7c2e4932b84074e2fac8a75797789317', '445ddfd144878503c8e1261089db7865fcede58c']","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
"[1, 1, 1]","[[228], [228], [228]]","[['puppet-tripleo/manifests/profile/base/keystone.pp_(IaC)_'], ['puppet-tripleo/manifests/profile/base/keystone.pp_(IaC)_'], ['puppet-tripleo/manifests/profile/base/keystone.pp_(IaC)_']]","[['puppet-tripleo/spec/classes/tripleo_profile_base_ironic_inspector_spec.rb_(Other)_'], ['puppet-tripleo/spec/classes/tripleo_profile_base_ironic_inspector_spec.rb_(Other)_'], ['puppet-tripleo/manifests/profile/base/ironic_inspector/authtoken.pp_(IaC)_']]","['94ee6744d93fe2b5adfa1696b1a0a891f797045d', 'be5ca93a7c2e4932b84074e2fac8a75797789317', '445ddfd144878503c8e1261089db7865fcede58c']","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
"[1, 1, 1]","[[252], [252], [252]]","[['puppet-tripleo/manifests/profile/base/cinder.pp_(IaC)_'], ['puppet-tripleo/manifests/profile/base/cinder.pp_(IaC)_'], ['puppet-tripleo/manifests/profile/base/cinder.pp_(IaC)_']]","[['puppet-tripleo/spec/classes/tripleo_profile_base_ironic_inspector_spec.rb_(Other)_'], ['puppet-tripleo/spec/classes/tripleo_profile_base_ironic_inspector_spec.rb_(Other)_'], ['puppet-tripleo/manifests/profile/base/ironic_inspector/authtoken.pp_(IaC)_']]","['94ee6744d93fe2b5adfa1696b1a0a891f797045d', 'be5ca93a7c2e4932b84074e2fac8a75797789317', '445ddfd144878503c8e1261089db7865fcede58c']","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
"[1, 1, 1]","[[384], [384], [384]]","[['puppet-tripleo/manifests/profile/base/ironic/authtoken.pp_(IaC)_'], ['puppet-tripleo/manifests/profile/base/ironic/authtoken.pp_(IaC)_'], ['puppet-tripleo/manifests/profile/base/ironic/authtoken.pp_(IaC)_']]","[['puppet-tripleo/spec/classes/tripleo_profile_base_ironic_inspector_spec.rb_(Other)_'], ['puppet-tripleo/spec/classes/tripleo_profile_base_ironic_inspector_spec.rb_(Other)_'], ['puppet-tripleo/manifests/profile/base/ironic_inspector/authtoken.pp_(IaC)_']]","['94ee6744d93fe2b5adfa1696b1a0a891f797045d', 'be5ca93a7c2e4932b84074e2fac8a75797789317', '445ddfd144878503c8e1261089db7865fcede58c']","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
"[1, 1, 1]","[[228], [228], [228]]","[['puppet-tripleo/manifests/profile/base/keystone.pp_(IaC)_'], ['puppet-tripleo/manifests/profile/base/keystone.pp_(IaC)_'], ['puppet-tripleo/manifests/profile/base/keystone.pp_(IaC)_']]","[['puppet-tripleo/spec/classes/tripleo_profile_base_ironic_inspector_spec.rb_(Other)_'], ['puppet-tripleo/spec/classes/tripleo_profile_base_ironic_inspector_spec.rb_(Other)_'], ['puppet-tripleo/manifests/profile/base/ironic_inspector/authtoken.pp_(IaC)_']]","['94ee6744d93fe2b5adfa1696b1a0a891f797045d', 'be5ca93a7c2e4932b84074e2fac8a75797789317', '445ddfd144878503c8e1261089db7865fcede58c']","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
"[1, 1, 1]","[[383], [383], [383]]","[['puppet-tripleo/manifests/profile/base/ironic/conductor.pp_(IaC)_'], ['puppet-tripleo/manifests/profile/base/ironic/conductor.pp_(IaC)_'], ['puppet-tripleo/manifests/profile/base/ironic/conductor.pp_(IaC)_']]","[['puppet-tripleo/spec/classes/tripleo_profile_base_ironic_inspector_spec.rb_(Other)_'], ['puppet-tripleo/spec/classes/tripleo_profile_base_ironic_inspector_spec.rb_(Other)_'], ['puppet-tripleo/manifests/profile/base/ironic_inspector/authtoken.pp_(IaC)_']]","['94ee6744d93fe2b5adfa1696b1a0a891f797045d', 'be5ca93a7c2e4932b84074e2fac8a75797789317', '445ddfd144878503c8e1261089db7865fcede58c']","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
"[1, 1, 1]","[[233], [233], [233]]","[['puppet-tripleo/manifests/profile/base/ironic.pp_(IaC)_'], ['puppet-tripleo/manifests/profile/base/ironic.pp_(IaC)_'], ['puppet-tripleo/manifests/profile/base/ironic.pp_(IaC)_']]","[['puppet-tripleo/spec/classes/tripleo_profile_base_ironic_inspector_spec.rb_(Other)_'], ['puppet-tripleo/spec/classes/tripleo_profile_base_ironic_inspector_spec.rb_(Other)_'], ['puppet-tripleo/manifests/profile/base/ironic_inspector/authtoken.pp_(IaC)_']]","['94ee6744d93fe2b5adfa1696b1a0a891f797045d', 'be5ca93a7c2e4932b84074e2fac8a75797789317', '445ddfd144878503c8e1261089db7865fcede58c']","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
"[1, 1, 1]","[[228], [228], [228]]","[['puppet-tripleo/manifests/profile/base/keystone.pp_(IaC)_'], ['puppet-tripleo/manifests/profile/base/keystone.pp_(IaC)_'], ['puppet-tripleo/manifests/profile/base/keystone.pp_(IaC)_']]","[['puppet-tripleo/spec/classes/tripleo_profile_base_ironic_inspector_spec.rb_(Other)_'], ['puppet-tripleo/spec/classes/tripleo_profile_base_ironic_inspector_spec.rb_(Other)_'], ['puppet-tripleo/manifests/profile/base/ironic_inspector/authtoken.pp_(IaC)_']]","['94ee6744d93fe2b5adfa1696b1a0a891f797045d', 'be5ca93a7c2e4932b84074e2fac8a75797789317', '445ddfd144878503c8e1261089db7865fcede58c']","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
"[1, 1, 1]","[[383], [383], [383]]","[['puppet-tripleo/manifests/profile/base/ironic/conductor.pp_(IaC)_'], ['puppet-tripleo/manifests/profile/base/ironic/conductor.pp_(IaC)_'], ['puppet-tripleo/manifests/profile/base/ironic/conductor.pp_(IaC)_']]","[['puppet-tripleo/spec/classes/tripleo_profile_base_ironic_inspector_spec.rb_(Other)_'], ['puppet-tripleo/spec/classes/tripleo_profile_base_ironic_inspector_spec.rb_(Other)_'], ['puppet-tripleo/manifests/profile/base/ironic_inspector/authtoken.pp_(IaC)_']]","['94ee6744d93fe2b5adfa1696b1a0a891f797045d', 'be5ca93a7c2e4932b84074e2fac8a75797789317', '445ddfd144878503c8e1261089db7865fcede58c']","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
"[1, 1, 1]","[[383], [383], [383]]","[['puppet-tripleo/manifests/profile/base/ironic/conductor.pp_(IaC)_'], ['puppet-tripleo/manifests/profile/base/ironic/conductor.pp_(IaC)_'], ['puppet-tripleo/manifests/profile/base/ironic/conductor.pp_(IaC)_']]","[['puppet-tripleo/spec/classes/tripleo_profile_base_ironic_inspector_spec.rb_(Other)_'], ['puppet-tripleo/spec/classes/tripleo_profile_base_ironic_inspector_spec.rb_(Other)_'], ['puppet-tripleo/manifests/profile/base/ironic_inspector/authtoken.pp_(IaC)_']]","['94ee6744d93fe2b5adfa1696b1a0a891f797045d', 'be5ca93a7c2e4932b84074e2fac8a75797789317', '445ddfd144878503c8e1261089db7865fcede58c']","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
